url,domain,n_referenciada_por,ids_referenciantes,campos_origem
https://g1.globo.com/pe/petrolina-regiao/noticia/2024/09/10/escolas-estaduais-de-petrolina-recebem-inscricoes-para-o-eja-campo-veja-lista.ghtml,g1.globo.com,1,FRM-CP-2026-EDU-0149,fonte_url
https://institutoligabadu.org.br/bora-circular,institutoligabadu.org.br,1,FRM-CP-2026-TRAB-0070,fonte_url
https://jau.sp.gov.br/noticia/10538/plano-mobilidade-jahu,jau.sp.gov.br,1,FRM-CP-2026-PSOC-0012,fonte_url
https://jornadapedagogica.educacao.ba.gov.br/eja,jornadapedagogica.educacao.ba.gov.br,1,FRM-CP-2026-EDU-0108,fonte_url
https://legislacao.fazenda.rj.gov.br/letra-r/rio-simples,legislacao.fazenda.rj.gov.br,1,FRM-CP-2026-TRAB-0040,fonte_url
https://legislacao.prefeitura.sp.gov.br/leis/decreto-43802-de-16-de-setembro-de-2003,legislacao.prefeitura.sp.gov.br,1,FRM-CP-2026-EDU-0027,fonte_url
https://leisestaduais.com.br/rj/decreto-n-31548-2002-rio-de-janeiro-dispoe-sobre-o-programa-de-primeiro-emprego-no-ambito-do-estado-do-rio-de-janeiro-implementado-pela-secretaria-de-estado-de-trabalho-e-da-outras-providencias?__cf_chl_tk=awLzvES0A2WCa2c05U3g3jhBc8e71mLxszMjL49FNdk-1771882529-1.0.1.1-_qJdTMoEDWDmSvAC2zf9C5WGfuD8x7qilbE7BEWNr6Y,leisestaduais.com.br,1,FRM-CP-2026-TRAB-0031,fonte_url
https://leisestaduais.com.br/ba/decreto-n-20401-2021-bahia-institui-o-programa-educar-para-trabalhar-e-da-outras-providencias,leisestaduais.com.br,1,FRM-CP-2026-TRAB-0104,fonte_url
https://leisestaduais.com.br/ce/lei-ordinaria-n-17572-2021-ceara-dispoe-sobre-o-programa-ceara-educa-mais-consistente-em-acoes-destinadas-a,leisestaduais.com.br,1,FRM-CP-2026-EDU-0176,fonte_url
https://novoscaminhos-sc.com.br/nacionalizacao,novoscaminhos-sc.com.br,1,FRM-CP-2026-EDU-0170,informacoes_complementares
https://ojs.observatoriolatinoamericano.com/ojs/index.php/olel/article/view/805/512,ojs.observatoriolatinoamericano.com,1,FRM-CP-2026-EDU-0111,fonte_url
https://ole.uff.br/wp-content/uploads/sites/296/2017/12/projeto-escola-fabrica.pdf,ole.uff.br,1,FRM-CP-2026-TRAB-0072,fonte_url
https://planoriogrande.rs.gov.br/plano-rio-grande,planoriogrande.rs.gov.br,1,FRM-CP-2026-PSOC-0049,fonte_url
https://planoriogrande.rs.gov.br/normativas,planoriogrande.rs.gov.br,1,FRM-CP-2026-PSOC-0049,informacoes_complementares
https://portal.educacao.pe.gov.br/see-oferta-18-908-vagas-para-a-educacao-de-jovens-e-adultos,portal.educacao.pe.gov.br,1,FRM-CP-2026-EDU-0148,fonte_url
https://portal.educacao.pe.gov.br/supletivo-anual,portal.educacao.pe.gov.br,1,FRM-CP-2026-EDU-0151,fonte_url
https://portal.educacao.pe.gov.br/projovem-urbano-oferta-1-500-vagas-em-pernambuco,portal.educacao.pe.gov.br,1,FRM-CP-2026-EDU-0161,fonte_url
https://portal.educacao.pe.gov.br/programa-trilhatec-abre-inscricoes-para-cursos-gratuitos-em-parceria-com-o-senac-em-todo-o-estado,portal.educacao.pe.gov.br,1,FRM-CP-2026-TRAB-0136,fonte_url
https://portal.ifba.edu.br/noticias/2025/ifba-inicia-cursos-pelo-pronatec-em-13-campi,portal.ifba.edu.br,1,FRM-CP-2026-TRAB-0094,fonte_url
https://portal.mec.gov.br/setec/arquivos/pdf1/proejadecreto5840.pdf,portal.mec.gov.br,1,FRM-CP-2026-EDU-0137,fonte_url
https://portal.mec.gov.br/component/tags/tag/pronatec-aprendiz,portal.mec.gov.br,1,FRM-CP-2026-TRAB-0125,fonte_url
https://portalantigo.ifsertaope.edu.br/index.php/proeja/1186-ifsertaope/ingresso-if/cursos-tecnicos-ing/proeja-fic,portalantigo.ifsertaope.edu.br,1,FRM-CP-2026-EDU-0158,fonte_url
https://portalgerais.com/minas-forma-abre-10-mil-vagas-de-cursos-gratuitos-e-foca-em-mulheres,portalgerais.com,1,FRM-CP-2026-TRAB-0062,informacoes_complementares
https://prefeitura.sp.gov.br/web/imigrantes_e_trabalho_decente/w/programas_e_projetos/portas_abertas/259304,prefeitura.sp.gov.br,1,FRM-CP-2026-EDU-0028,fonte_url
https://prefeitura.sp.gov.br/web/lgbti/w/menu/150965,prefeitura.sp.gov.br,1,FRM-CP-2026-PSOC-0011,fonte_url
https://prefeitura.sp.gov.br/web/comunicacao/w/noticias/122295,prefeitura.sp.gov.br,1,FRM-CP-2026-PSOC-0015,fonte_url
https://prefeitura.sp.gov.br/web/assistencia_social/w/rede_socioassistencial/criancas_e_adolescentes/331325,prefeitura.sp.gov.br,1,FRM-CP-2026-PSOC-0023,fonte_url
https://professor.escoladigital.pr.gov.br/eja,professor.escoladigital.pr.gov.br,1,FRM-CP-2026-EDU-0071,fonte_url
https://professor.escoladigital.pr.gov.br/combate_abandono_escolar,professor.escoladigital.pr.gov.br,1,FRM-CP-2026-EDU-0073,fonte_url
https://professor.escoladigital.pr.gov.br/eja/proeduse/legislacao,professor.escoladigital.pr.gov.br,1,FRM-CP-2026-EDU-0075,fonte_url
https://pronatec2026.com.br/pronatec-2026-pe,pronatec2026.com.br,1,FRM-CP-2026-TRAB-0135,fonte_url
https://publicadministration.un.org/en/Research/Case-Studies/unpsacases/ctl/NominationProfilev2014/mid/1170/id/2407,publicadministration.un.org,1,FRM-CP-2026-TRAB-0097,fonte_url
https://revistanews.com.br/2022/09/19/rs-e-o-segundo-estado-da-regiao-sul-com-mais-familias-atendidas-pelo-auxilio-brasil-em-setembro,revistanews.com.br,1,FRM-CP-2026-PSOC-0054,fonte_url
https://servicos.sp.gov.br/fcarta/AA22C3A3-0BC3-439B-B369-6D84D5A83922,servicos.sp.gov.br,1,FRM-CP-2026-TRAB-0018,fonte_url
https://servidores.rhbahia.ba.gov.br/noticias/2025-01-08/governo-do-estado-oferta-educacao-profissional-e-tecnologica-todos-os,servidores.rhbahia.ba.gov.br,1,FRM-CP-2026-TRAB-0093,fonte_url
https://servidores.rhbahia.ba.gov.br/noticias/2021-12-27/governo-oferta-5-mil-vagas-para-cursos-de-qualificacao-profissional,servidores.rhbahia.ba.gov.br,1,FRM-CP-2026-TRAB-0102,fonte_url
https://social.mg.gov.br/trabalho-e-emprego/educacao-profissional/minas-programando,social.mg.gov.br,1,FRM-CP-2026-TRAB-0051,fonte_url
https://ssps.rs.gov.br/upload/arquivos/202301/24100513-19131940-plano-educacao-para-pessoas-presas.pdf,ssps.rs.gov.br,1,FRM-CP-2026-EDU-0096,fonte_url
https://teses.usp.br/teses/disponiveis/48/48134/tde-09102007-093437/publico/DissertacaoAlineAbbonizio.pdf,teses.usp.br,1,FRM-CP-2026-EDU-0030,fonte_url
https://trabalho.rs.gov.br/rs-qualificacao,trabalho.rs.gov.br,1,FRM-CP-2026-TRAB-0081,fonte_url
https://trabalho.rs.gov.br/rs-qualificacao-recomecar-2025,trabalho.rs.gov.br,1,FRM-CP-2026-TRAB-0082,fonte_url
https://transparencia.pe.gov.br/wp-content/uploads/2023/12/plano-estadual-de-educacao_versao-final-07-06-2015-1.pdf,transparencia.pe.gov.br,1,FRM-CP-2026-EDU-0147,fonte_url
https://univesp.br/cursos/qualificacao-profissional,univesp.br,1,FRM-CP-2026-TRAB-0017,fonte_url
https://utramig.mg.gov.br/,utramig.mg.gov.br,1,FRM-CP-2026-TRAB-0048,fonte_url
https://www.acnur.org/br/o-que-fazemos/politicas-publicas,www.acnur.org,1,FRM-CP-2026-PSOC-0073,fonte_url
https://www.agenciapara.com.br/noticia/67291/rede-estadual-intensifica-busca-ativa-escolar-para-garantir-direito-a-educacao,www.agenciapara.com.br,1,FRM-CP-2026-EDU-0132,fonte_url
https://www.al.sp.gov.br/repositorio/legislacao/decreto/2011/decreto-57238-17.08.2011.html,www.al.sp.gov.br,1,FRM-CP-2026-EDU-0023,fonte_url
https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69680-08.07.2025.html,www.al.sp.gov.br,1,FRM-CP-2026-TRAB-0019,fonte_url
